isin,fund,amfi,json,category,rta_code,amfi_code,type
INF090I01619,Franklin India Life Stage Fund of Funds - 30's Plan - Dividend Reinvestment,,Franklin India Life Stage Fund Of Funds - 30'S Plan - IDCW - Reinvestment,EQUITY,177,102110,
INF090I01627,Franklin India Life Stage Fund of Funds - 30's Plan - Growth,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 30S PLAN (G),Franklin India Life Stage Fund Of Funds - 30'S Plan - Growth,EQUITY,178,102109,payout/growth
INF090I01635,Franklin India Life Stage Fund of Funds - 40's Plan - Dividend Payout,Franklin India Life Stage Fund of Funds - 40's Plan - IDCW,Franklin India Life Stage Fund Of Funds - 40'S Plan - IDCW - Payout,EQUITY,179,102111,payout/growth
INF090I01643,Franklin India Life Stage Fund of Funds - 40's Plan - Dividend Reinvestment,,Franklin India Life Stage Fund Of Funds - 40'S Plan - IDCW - Reinvestment,EQUITY,179,102111,
INF090I01650,Franklin India Life Stage Fund of Funds - 40's Plan - Growth,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 40S PLAN (G),Franklin India Life Stage Fund Of Funds - 40'S Plan - Growth,EQUITY,180,102112,payout/growth
INF090I01668,Franklin India Life Stage Fund of Funds - 50's Plus Plan - Dividend Payout,Franklin India Life Stage Fund of Funds - 50's Plus Plan - IDCW,Franklin India Life Stage Fund Of Funds - 50'S Plus Plan - IDCW - Payout,EQUITY,181,102113,payout/growth
INF090I01676,Franklin India Life Stage Fund of Funds - 50's Plus Plan - Dividend Reinvestment,,Franklin India Life Stage Fund Of Funds - 50'S Plus Plan - IDCW - Reinvestment,EQUITY,181,102113,
INF090I01684,Franklin India Life Stage Fund of Funds - 50's Plus Plan - Growth,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 50+S PLAN (G),Franklin India Life Stage Fund Of Funds - 50'S Plus Plan - Growth,EQUITY,182,102114,payout/growth
INF090I01890,Franklin India INDEX FUND NIFTY PLAN - Growth,Franklin India Index Fund- Nifty Plan - Growth,Franklin India Index Fund Nifty Plan - Growth,EQUITY,183,100484,payout/growth
INF090I01908,Franklin India INDEX FUND BSE PLAN - Dividend Payout,,Franklin India INDEX FUND BSE PLAN - IDCW Payout,EQUITY,84,,
INF090I01916,Franklin India INDEX FUND BSE PLAN - Dividend Reinvestment,,Franklin India INDEX FUND BSE PLAN - IDCW Reinvestment,EQUITY,84,,
INF090I01924,Franklin India INDEX FUND BSE PLAN - Growth,,Franklin India INDEX FUND BSE PLAN - Growth,EQUITY,85,,
INF090I01CW5,Franklin India Government Securities Fund - Dividend Payout,,Franklin India Government Securities Fund - IDCW Payout,DEBT,86,100491,
INF090I01CX3,Franklin India Government Securities Fund - Dividend Reinvestment,,Franklin India Government Securities Fund - IDCW Reinvestment,DEBT,86,100491,
INF090I01CY1,Franklin India Government Securities Fund - GROWTH,,Franklin India Government Securities Fund - GROWTH,DEBT,87,100490,
INF090I01692,Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - Dividend Payout,Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - IDCW,Franklin India Life Stage Fund Of Funds - 50'S Plus Floating Rate Plan - IDCW - Payout,EQUITY,188,102546,payout/growth
INF090I01700,Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - Dividend Reinvestment,,Franklin India Life Stage Fund Of Funds - 50'S Plus Floating Rate Plan - IDCW - Reinvestment,EQUITY,188,102546,
INF090I01718,Franklin India Life Stage Fund Of Funds - 50's Plus Floating Rate Plan - Growth,Franklin India Life Stage Fund of Funds - The 50s Plus Flo (Gro),Franklin India Life Stage Fund Of Funds - 50'S Plus Floating Rate Plan - Growth,EQUITY,189,102547,payout/growth
INF090I01BD7,Franklin India Liquid Fund - Institutional Plan - Growth,Franklin India Liquid Fund - Institution-Growth,Franklin India Liquid Fund - Institution-Growth,DEBT,90,102441,payout/growth
INF090I01BE5,Franklin India Liquid Fund - Institutional Plan - WEEKLY DIVIDEND Reinvestment,Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW - Reinvestment,DEBT,91,102442,reinvest
INF090I01BJ4,Franklin India Liquid Fund - Institutional Plan - WEEKLY DIVIDEND Payout,Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW - Payout,DEBT,91,102442,payout/growth
INF090I01BC9,Franklin India Liquid Fund - Institutional Plan - Daily Dividend Reinvestment,Franklin India Liquid Fund - Institutional Plan - Daily - IDCW,Franklin India Liquid Fund - Institutional Plan - Daily - IDCW - Reinvestment,DEBT,92,102443,reinvest
INF090I01CS3,Franklin India Government Securities Fund - Quarterly Dividend Payout,Franklin India Government Securities Fund - IDCW,Franklin India Government Securities Fund - IDCW - Payout,DEBT,193,100494,payout/growth
INF090I01CT1,Franklin India Government Securities Fund - Quarterly Dividend Reinvestment,Franklin India Government Securities Fund - IDCW,Franklin India Government Securities Fund - IDCW - Reinvestment,DEBT,193,100494,reinvest
INF090I01CU9,Franklin India Government Securities Fund - Growth,Franklin India Government Securities Fund - Growth,Franklin India Government Securities Fund - Growth,DEBT,194,100493,payout/growth
INF090I01CO2,Franklin India Government Securities Fund - Long Term Plan - Bonus 1 - Bonus,,,,,,
INF090I01CV7,Franklin India Government Securities Fund - Long Term Plan - Bonus 2 - Bonus,,,,,,
INF090I01EO8,Templeton India TREASURY MANAGEMENT ACCOUNT LIQUID PLAN - Daily Dividend,,,,,,
INF090I01BK2,Templeton India TREASURY MANAGEMENT ACCOUNT LIQUID PLAN - WEEKLY DIVIDEND Payout,,,,,,
INF090I01EP5,Templeton India TREASURY MANAGEMENT ACCOUNT LIQUID PLAN - WEEKLY DIVIDEND Reinvestment,,,,,,
INF090I01EQ3,Templeton India TREASURY MANAGEMENT ACCOUNT LIQUID PLAN - Growth,,,,,,
INF090I01189,Franklin India Equity Advantage Fund - DIVIDEND PAYOUT,Franklin India Equity Advantage Fund - IDCW,Franklin India Equity Advantage Fund - IDCW - Payout,EQUITY,200,102884,payout/growth
INF090I01197,Franklin India Equity Advantage Fund - DIVIDEND REINVESTMENT,Franklin India Equity Advantage Fund - IDCW,Franklin India Equity Advantage Fund - IDCW - Reinvestment,EQUITY,200,102884,reinvest
INF090I01205,Franklin India Equity Advantage Fund - GROWTH,Franklin India Equity Advantage Fund - Growth Plan,Franklin India Equity Advantage Fund - Growth,EQUITY,201,102883,payout/growth
INF090I01BG0,Franklin India Liquid Fund - Super Institutional Plan - Growth,Franklin India Liquid Fund - Super Institutional Plan - Growth,Franklin India Liquid Fund - Super Institutional Plan - Growth,DEBT,208,100546,payout/growth
INF090I01BF2,Franklin India Liquid Fund - Super Institutional Plan - Daily Dividend Reinvestment,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW - Reinvestment,DEBT,209,100547,reinvest
INF090I01BH8,Franklin India Liquid Fund - Super Institutional Plan - WEEKLY DIVIDEND Reinvestment,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW - Reinvestment,DEBT,210,100548,reinvest
INF090I01BM8,Franklin India Liquid Fund - Super Institutional Plan - WEEKLY DIVIDEND Payout,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW - Payout,DEBT,210,100548,payout/growth
INF090I01BV9,Franklin India Savings Fund Institutional Option - Dividend Reinvestment,Franklin India Savings Fund - Institutional Option - Dividend,Franklin India Savings Fund Institutional Option - Dividend Reinvestment,DEBT,211,101359,reinvest
INF090I01BW7,Franklin India Savings Fund Institutional Option - Dividend Payout,Franklin India Savings Fund - Institutional Option - Dividend,Franklin India Savings Fund Institutional Option - Dividend Payout,DEBT,211,101359,payout/growth
INF090I01BX5,Templeton Floating Rate INCOME FUND Institutional Option - Growth,Franklin India Savings Fund - Institutional Option - Growth,Franklin India Savings Fund - Institutional Option - Growth,DEBT,212,101358,payout/growth
INF090I01361,Franklin India Short Term Income Plan - Institutional Plan - GROWTH,Franklin India Short-Term Income Plan-Institutional Plan - Growth,Franklin India Short Term Income Plan - Institutional Plan - Growth,DEBT,213,101244,payout/growth
INF090I01379,Franklin India Short Term Income Plan - Institutional Plan - WEEKLY DIVIDEND REINVESTMENT,,Franklin India Short Term Income Plan - Institutional Plan - Weekly IDCW - Reinvestment,DEBT,214,,
INF090I01387,Franklin India Short Term Income Plan - Institutional Plan - MONTHLY DIVIDEND PAYOUT,Franklin India Short-Term Income Plan-Institutional Plan - Monthly Dividend,Franklin India Short Term Income Plan - Institutional Plan - MONTHLY DIVIDEND PAYOUT,DEBT,215,101246,payout/growth
INF090I01395,Franklin India Short Term Income Plan - Institutional Plan - MONTHLY DIVIDEND REINVESTMENT,Franklin India Short-Term Income Plan-Institutional Plan - Monthly Dividend,Franklin India Short Term Income Plan - Institutional Plan - MONTHLY DIVIDEND REINVESTMENT,DEBT,215,101246,reinvest
INF090I01544,Franklin India Smaller Companies Fund - Dividend Payout,Franklin India Smaller Companies Fund - IDCW,Franklin India Smaller Companies Fund - IDCW - Payout,EQUITY,218,103361,payout/growth
INF090I01551,Franklin India Smaller Companies Fund - Dividend Reinvestment,Franklin India Smaller Companies Fund - IDCW,Franklin India Smaller Companies Fund - IDCW - Reinvestment,EQUITY,218,103361,reinvest
INF090I01569,Franklin India Smaller Companies Fund - GROWTH,Franklin India Smaller Companies Fund-Growth,Franklin India Smaller Companies Fund - Growth,EQUITY,219,103360,payout/growth
INF090I01932,Templeton India EQUITY INCOME FUND - Dividend Payout,Templeton India EQUITY INCOME FUND - IDCW,Templeton India Equity Income Fund - IDCW - Payout,EQUITY,224,103679,payout/growth
INF090I01940,Templeton India EQUITY INCOME FUND - Dividend Reinvestment,Templeton India EQUITY INCOME FUND - IDCW,Templeton India Equity Income Fund - IDCW - Reinvestment,EQUITY,224,103679,reinvest
INF090I01957,Templeton India EQUITY INCOME FUND - Growth,Templeton India Equity Income Fund-Growth Plan,Templeton India Equity Income Fund - Growth,EQUITY,225,103678,payout/growth
INF090I01AJ6,Franklin Templeton FIXED TENURE FUND SERIES V I 60 MONTHS PLAN - Dividend Payout,,,,,,
INF090I01AK4,Franklin Templeton FIXED TENURE FUND SERIES V I 60 MONTHS PLAN - Dividend Reinvestment,,,,,,
INF090I01AL2,Franklin Templeton FIXED TENURE FUND SERIES V I 60 MONTHS PLAN - Growth,,,,,,
INF090I01AM0,Franklin Templeton FIXED TENURE FUND SERIES V I I I 60 MONTHS PLAN A - Dividend Payout,,,,,,
INF090I01AN8,Franklin Templeton FIXED TENURE FUND SERIES V I I I 60 MONTHS PLAN A - GROWTH,,,,,,
INF090I01CB9,Templeton Floating Rate INCOME FUND Super Institutional Option - GROWTH,,Templeton Floating Rate INCOME FUND Super Institutional Option - GROWTH,DEBT,263,,
INF090I01973,Franklin India Focused Equity Fund - Dividend Reinvestment,Franklin India Focused Equity Fund - IDCW,Franklin India Focused Equity Fund - IDCW - Reinvestment,EQUITY,272,105816,reinvest
INF090I01965,Franklin India Focused Equity Fund - Dividend Payout,Franklin India Focused Equity Fund - IDCW,Franklin India Focused Equity Fund - IDCW - Payout,EQUITY,272,105816,payout/growth
INF090I01981,Franklin India Focused Equity Fund - GROWTH,Franklin India Focused Equity Fund - Growth Plan,Franklin India Focused Equity Fund - Growth,EQUITY,273,105817,payout/growth
INF090I01CC7,Templeton Floating Rate INCOME FUND Super Institutional Option - Daily Dividend Reinvestment,,Templeton Floating Rate INCOME FUND Super Institutional Option - Daily Dividend Reinvestment,DEBT,274,,
INF090I01999,Franklin Asian Equity Fund - Dividend Payout,Franklin Asian Equity Fund - IDCW,Franklin Asian Equity Fund - IDCW - Payout,EQUITY,303,106978,payout/growth
INF090I01AA5,Franklin Asian Equity Fund - Dividend Reinvestment,Franklin Asian Equity Fund - IDCW,Franklin Asian Equity Fund - IDCW - Reinvestment,EQUITY,303,106978,reinvest
INF090I01AB3,Franklin Asian Equity Fund - GROWTH,Franklin Asian Equity Fund - Growth Plan,Franklin Asian Equity Fund - Growth,EQUITY,304,106979,payout/growth
INF090I01CK0,Franklin India Ultra Short Bond Fund - Retail Plan - GROWTH,Franklin India Ultra Short Bond Fund - Retail - Growth,Franklin India Ultra Short Bond Fund - Retail Plan - Growth,DEBT,305,107247,payout/growth
INF090I01CH6,Franklin India Ultra Short Bond Fund - Retail Plan - Daily Dividend Reinvestment,Franklin India Ultra Short Bond Fund - Retail Plan - Daily - IDCW,Franklin India Ultra Short Bond Fund - Retail Plan - Daily - IDCW - Reinvestment,DEBT,306,107252,reinvest
INF090I01CG8,Franklin India Ultra Short Bond Fund - Institutional Plan - GROWTH,Franklin India Ultra Short Bond Fund - Institutional - Growth,Franklin India Ultra Short Bond Fund - Institutional Plan - Growth,DEBT,307,107248,payout/growth
INF090I01CD5,Franklin India Ultra Short Bond Fund - Institutional Plan - Daily Dividend Reinvestment,Franklin India Ultra Short Bond Fund - Institutional Plan - Daily - IDCW,Franklin India Ultra Short Bond Fund - Institutional Plan - Daily - IDCW - Reinvestment,DEBT,308,107251,reinvest
INF090I01CN4,Franklin India Ultra Short Bond Fund - Super Institutional Plan - GROWTH,Franklin India Ultra Short Bond Fund - Super Institutional - Growth,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Growth,DEBT,309,107249,payout/growth
INF090I01CL8,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily Dividend Reinvestment,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily - IDCW,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Daily - IDCW,DEBT,310,107250,reinvest
INF090I01AO6,Franklin Templeton Fixed Tenure Fund Series I X Plan A - Dividend Payout,,,,,,
INF090I01AP3,Franklin Templeton Fixed Tenure Fund Series I X Plan A - GROWTH,,,,,,
INF090I01AQ1,Franklin Templeton Fixed Tenure Fund Series I X Plan B - Dividend Payout,,,,,,
INF090I01AR9,Franklin Templeton Fixed Tenure Fund Series I X Plan B - GROWTH,,,,,,
INF090I01AS7,Franklin Templeton Fixed Tenure Fund Series X - Plan A - Dividend Payout,,,,,,
INF090I01AT5,Franklin Templeton Fixed Tenure Fund Series X - Plan A - GROWTH,,,,,,
INF090I01AU3,Franklin Templeton Fixed Tenure Fund Series X - Plan C - Dividend Payout,,,,,,
INF090I01AV1,Franklin Templeton Fixed Tenure Fund Series X - Plan C - GROWTH,,,,,,
INF090I01CI4,Franklin India Ultra Short Bond Fund - Retail Plan - WEEKLY DIVIDEND Payout,Franklin India Ultra Short Bond Fund - Retail Plan - Weekly - IDCW,Franklin India Ultra Short Bond Fund - Retail Plan - Weekly - IDCW - Payout,DEBT,355,109575,payout/growth
INF090I01CJ2,Franklin India Ultra Short Bond Fund - Retail Plan - WEEKLY DIVIDEND Reinvestment,Franklin India Ultra Short Bond Fund - Retail Plan - Weekly - IDCW,Franklin India Ultra Short Bond Fund - Retail Plan - Weekly - IDCW - Reinvestment,DEBT,355,109575,reinvest
INF090I01CE3,Franklin India Ultra Short Bond Fund - Institutional Plan - WEEKLY DIVIDEND Payout,Franklin India Ultra Short Bond Fund - Institutional - Weekly Dividend,Franklin India Ultra Short Bond Fund - Institutional Plan - WEEKLY DIVIDEND Payout,DEBT,356,109574,payout/growth
INF090I01CF0,Franklin India Ultra Short Bond Fund - Institutional Plan - WEEKLY DIVIDEND Reinvestment,Franklin India Ultra Short Bond Fund - Institutional - Weekly Dividend,Franklin India Ultra Short Bond Fund - Institutional Plan - WEEKLY DIVIDEND Reinvestment,DEBT,356,109574,reinvest
INF090I01CM6,Franklin India Ultra Short Bond Fund - Super Institutional Plan - WEEKLY DIVIDEND Reinvestment,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Weekly - IDCW,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Weekly - IDCW,DEBT,357,109576,reinvest
INF090I01AW9,Franklin Templeton Fixed Tenure Fund Series X - Plan B - Dividend Payout,,,,,,
INF090I01AX7,Franklin Templeton Fixed Tenure Fund Series X - Plan B - GROWTH,,,,,,
INF090I01AY5,Franklin Templeton Fixed Tenure Fund Series X - Plan D - Dividend Payout,,,,,,
INF090I01AZ2,Franklin Templeton Fixed Tenure Fund Series X - Plan D - GROWTH,,,,,,
INF090I01AC1,Franklin Build India Fund - Dividend Payout,Franklin Build India Fund - IDCW,Franklin Build India Fund - IDCW - Payout,EQUITY,386,112093,payout/growth
INF090I01AD9,Franklin Build India Fund - Dividend Reinvestment,Franklin Build India Fund - IDCW,Franklin Build India Fund - IDCW - Reinvestment,EQUITY,386,112093,reinvest
INF090I01AE7,Franklin Build India Fund - GROWTH,Franklin Build India Fund Growth Plan,Franklin Build India Fund - Growth,EQUITY,387,112092,payout/growth
INF090I01460,Franklin India Income Opportunities Fund - DIVIDEND REINVESTMENT,Franklin India Income Opportunities Fund - IDCW,Franklin India Income Opportunities Fund - IDCW Reinvest,DEBT,392,112305,reinvest
INF090I01452,Franklin India Income Opportunities Fund - DIVIDEND PAYOUT,Franklin India Income Opportunities Fund - IDCW,Franklin India Income Opportunities Fund - IDCW Payout,DEBT,392,112305,payout/growth
INF090I01445,Franklin India Income Opportunities Fund - GROWTH,Franklin India Income Opportunities Fund - Growth,Franklin India Income Opportunities Fund - Growth,DEBT,393,112304,payout/growth
INF090I01BU1,Franklin India Low Duration Fund - GROWTH,Franklin India Low Duration Fund - Growth Plan,Franklin India Low Duration Fund - Growth,DEBT,400,113135,payout/growth
INF090I01ER1,Franklin India Credit Risk Fund - DIVIDEND REINVESTMENT,Franklin India Credit Risk Fund - IDCW,Franklin India Credit Risk Fund - IDCW - Reinvestment,DEBT,405,116154,reinvest
INF090I01ES9,Franklin India Credit Risk Fund - DIVIDEND PAYOUT,Franklin India Credit Risk Fund - IDCW,Franklin India Credit Risk Fund - IDCW - Payout,DEBT,405,116154,payout/growth
INF090I01ET7,Franklin India Credit Risk Fund - GROWTH,Franklin India Credit Risk Fund - Growth,Franklin India Credit Risk Fund - Growth,DEBT,406,116153,payout/growth
INF090I01EU5,Franklin India Feeder - Franklin U.S. Opportunities Fund - DIVIDEND REINVESTMENT,Franklin India Feeder - Franklin U S Opportunities Fund - IDCW,Franklin India Feeder - Franklin U S Opportunities Fund - IDCW - Reinvestment,DEBT,409,116632,reinvest
INF090I01EV3,Franklin India Feeder - Franklin U.S. Opportunities Fund - DIVIDEND PAYOUT,Franklin India Feeder - Franklin U S Opportunities Fund - IDCW,Franklin India Feeder - Franklin U S Opportunities Fund - IDCW - Payout,DEBT,409,116632,payout/growth
INF090I01EW1,Franklin India Feeder - Franklin U.S. Opportunities Fund - GROWTH,Franklin India Feeder - Franklin U.S. Opportunities Fund - Growth,Franklin India Feeder - Franklin U S Opportunities Fund - Growth,DEBT,410,116633,payout/growth
INF090I01FE6,Franklin INFOTECH FUND - Direct GROWTH - Growth,Franklin India Technology Fund - Direct - Growth,Franklin India Technology Fund - Direct - Growth,EQUITY,413,118537,payout/growth
INF090I01FG1,Franklin INFOTECH FUND - Direct DIVIDEND - Reinvestment,Franklin India Technology Fund - Direct - IDCW,Franklin India Technology Fund - Direct - IDCW - Reinvestment,EQUITY,414,118536,reinvest
INF090I01FF3,Franklin INFOTECH FUND - Direct DIVIDEND - Dividend Payout,Franklin India Technology Fund - Direct - IDCW,Franklin India Technology Fund - Direct - IDCW - Payout,EQUITY,414,118536,payout/growth
INF090I01JS8,Franklin India TAXSHIELD - Direct GROWTH - Growth,Franklin India TAXSHIELD - Direct - Growth,Franklin India Taxshield - Direct - Growth,EQUITY,415,118540,payout/growth
INF090I01JT6,Franklin India TAXSHIELD - Direct DIVIDEND - Dividend Payout,Franklin India TAXSHIELD - Direct - IDCW,Franklin India Taxshield - Direct - IDCW - Payout,EQUITY,416,118541,payout/growth
INF090I01JU4,Franklin India TAXSHIELD - Direct DIVIDEND - Reinvestment,Franklin India TAXSHIELD - Direct - IDCW,Franklin India TAXSHIELD - Direct - IDCW - Reinvestment,DEBT,416,118541,reinvest
INF090I01FH9,Franklin India PRIMA FUND - Direct GROWTH - Growth,Franklin India Prima Fund - Direct - Growth,Franklin India Prima Fund - Direct - Growth,EQUITY,417,118533,payout/growth
INF090I01FK3,Franklin India Equity Fund - Direct - Growth,Franklin India Flexi Cap Fund - Direct - Growth,Franklin India Flexi Cap Fund - Direct (Erstwhile Franklin India Equity Fund - Direct) - Growth,EQUITY,418,118535,payout/growth
INF090I01FN7,Franklin India BLUECHIP FUND - Direct GROWTH - Growth,Franklin India Bluechip Fund- Direct - Growth,Franklin India Bluechip Fund - Direct - Growth,EQUITY,419,118531,payout/growth
INF090I01FQ0,Franklin India Corporate Debt Fund - Plan A - Direct - Dividend Payout,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,DEBT,420,118571,payout/growth
INF090I01FR8,Franklin India Corporate Debt Fund - Plan A - Direct - Reinvestment,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,DEBT,420,118571,reinvest
INF090I01FT4,Franklin India Corporate Debt Fund - Plan A - Direct - Reinvestment,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,DEBT,421,118572,reinvest
INF090I01FS6,Franklin India Corporate Debt Fund - Plan A - Direct - Dividend Payout,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,DEBT,421,118572,payout/growth
INF090I01FU2,Franklin India Corporate Debt Fund - Plan A - Direct - Dividend Payout,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,Franklin India Corporate Debt Fund - Plan A - Direct - Half Yearly - IDCW,DEBT,422,118573,payout/growth
INF090I01FV0,Franklin India Corporate Debt Fund - Plan A - Direct - Reinvestment,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,Franklin India Corporate Debt Fund - Plan A - Direct - Half Yearly - IDCW,DEBT,422,118573,reinvest
INF090I01FZ1,Franklin India Equity Hybrid Fund - Direct - Growth,Franklin India Equity Hybrid Fund - Direct - Growth,Franklin India Equity Hybrid Fund - Direct - Growth,EQUITY,423,118546,payout/growth
INF090I01GB0,Franklin India Equity Hybrid Fund - Direct - Reinvestment,Franklin India Equity Hybrid Fund - Direct - IDCW,Franklin India Equity Hybrid Fund - Direct - IDCW,EQUITY,424,118547,reinvest
INF090I01GA2,Franklin India Equity Hybrid Fund - Direct - Dividend Payout,Franklin India Equity Hybrid Fund - Direct - IDCW,Franklin India Equity Hybrid Fund - Direct - IDCW,EQUITY,424,118547,payout/growth
INF090I01GC8,Franklin INDIA OPPORTUNITIES FUND - Direct GROWTH - Growth,Franklin India Opportunities Fund - Direct - Growth,Franklin India Opportunities Fund - Direct - Growth,EQUITY,425,118539,payout/growth
INF090I01GD6,Franklin INDIA OPPORTUNITIES FUND - Direct DIVIDEND - Dividend Payout,Franklin INDIA OPPORTUNITIES FUND - Direct - IDCW,Franklin India Opportunities Fund - Direct - IDCW,EQUITY,426,118538,payout/growth
INF090I01GE4,Franklin INDIA OPPORTUNITIES FUND - Direct DIVIDEND - Reinvestment,Franklin INDIA OPPORTUNITIES FUND - Direct - IDCW,Franklin India Opportunities Fund - Direct - IDCW,EQUITY,426,118538,reinvest
INF090I01KC0,Franklin India Income Builder Account Growth Plan A - Bonus 1 - Direct - Growth,Franklin India Corporate Debt Fund - Direct - Bonus,,,,119289,payout/growth
INF090I01KD8,Franklin India Income Builder Account Growth Plan A - Bonus 2 - Direct - Growth,,,,,,
INF090I01KE6,Franklin India Monthly Income Plan - Plan A Bonus 1 - Direct - Bonus 1,,,,,,
INF090I01KF3,Franklin India Monthly Income Plan - Plan A Bonus 2 - Direct - Bonus 2,,,,,,
INF090I01GF1,Franklin India Debt Hybrid Fund - Plan A - Direct - Growth,Franklin India Debt Hybrid Fund - Direct - GROWTH,Franklin India Debt Hybrid Fund - Plan A - Direct - Growth,EQUITY,433,118574,payout/growth
INF090I01GH7,Franklin India Debt Hybrid Fund - Plan A - Direct - Reinvestment,Franklin India Debt Hybrid Fund - Plan A - Direct - Monthly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Direct - Monthly - IDCW,EQUITY,434,118575,reinvest
INF090I01GG9,Franklin India Debt Hybrid Fund - Plan A - Direct - Dividend Payout,Franklin India Debt Hybrid Fund - Plan A - Direct - Monthly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Direct - Monthly - IDCW,EQUITY,434,118575,payout/growth
INF090I01GJ3,Franklin India Debt Hybrid Fund - Plan A - Direct - Reinvestment,Franklin India Debt Hybrid Fund - Plan A - Direct - Quarterly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Direct - Quarterly - IDCW,EQUITY,435,118576,reinvest
INF090I01GI5,Franklin India Debt Hybrid Fund - Plan A - Direct - Dividend Payout,Franklin India Debt Hybrid Fund - Plan A - Direct - Quarterly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Direct - Quarterly - IDCW,EQUITY,435,118576,payout/growth
INF090I01GK1,Franklin India Short Term Income Plan - Retail Plan - Direct - Growth,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH,Franklin India Short Term Income Plan - Retail Plan - Direct - Growth,DEBT,436,118565,payout/growth
INF090I01GL9,Franklin India Short Term Income Plan - Retail Plan - Direct - Dividend Payout,Franklin India Short Term Income Plan - Retail Plan - Direct - Quarterly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Direct - Quarterly - IDCW,DEBT,437,118566,payout/growth
INF090I01GM7,Franklin India Short Term Income Plan - Retail Plan - Direct - Reinvestment,Franklin India Short Term Income Plan - Retail Plan - Direct - Quarterly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Direct - Quarterly - IDCW,DEBT,437,118566,reinvest
INF090I01GO3,Franklin India Short Term Income Plan - Retail Plan - Direct - Reinvestment,Franklin India Short Term Income Plan - Retail Plan - Direct - Monthly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Direct - Monthly - IDCW,DEBT,438,118567,reinvest
INF090I01GN5,Franklin India Short Term Income Plan - Retail Plan - Direct - Dividend Payout,Franklin India Short Term Income Plan - Retail Plan - Direct - Monthly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Direct - Monthly - IDCW,DEBT,438,118567,payout/growth
INF090I01GP0,Franklin India Short Term Income Plan - Retail Plan - Direct - Reinvestment,Franklin India Short Term Income Plan - Retail Plan - Direct - Weekly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Direct - Weekly - IDCW,DEBT,439,118568,reinvest
INF090I01GQ8,Franklin India INDEX FUND NIFTY PLAN - Direct Dividend - Dividend Payout,Franklin India INDEX FUND NIFTY PLAN - Direct - IDCW,Franklin India Index Fund Nifty Plan - Direct - IDCW,EQUITY,440,118580,payout/growth
INF090I01GR6,Franklin India INDEX FUND NIFTY PLAN - Direct Dividend - Reinvestment,Franklin India INDEX FUND NIFTY PLAN - Direct - IDCW,Franklin India Index Fund Nifty Plan - Direct - IDCW,EQUITY,440,118580,reinvest
INF090I01GT2,Franklin India Savings Fund Retail Option - Direct - Dividend Payout,Franklin India Savings Fund Retail Option - Direct - Quarterly - IDCW,Franklin India Savings Fund Retail Option - Direct - Quarterly - IDCW,DEBT,441,118505,payout/growth
